plntname,ra_str,ra,dec_str,dec,imdelthmag,imdelthmagerr,imdelthmaglim,imdeltjmag,imdeltjmagerr,imdeltjmaglim,imdeltkmag,imdeltkmagerr,imdeltkmaglim,imdeltlpmag,imdeltlpmagerr,imdeltlpmaglim,imangsep,imangseperr1,imangseperr2,imangseplim,imsep,imseperr1,imseperr2,imseplim,imtruesep,imtrueseperr1,imtrueseperr2,imtrueseplim,impa,impaerr1,impaerr2,impalim,imdist,imdisterr1,imdisterr2,imdistlim,imtelescope,iminstrument,imdateobs,imcluster,imreflink,imdisk,imcorona,imifu,ns,glon,glat,imjmag,imjmagerr,imjmaglim,imhmag,imhmagerr,imhmaglim,imkmag,imkmagerr,imkmaglim,imlpmag,imlpmagerr,imlpmaglim,implnjmag,implnjmagerr,implnjmaglim,implnhmag,implnhmagerr,implnhmaglim,implnkmag,implnkmagerr,implnkmaglim,implnlpmag,implnlpmagerr,implnlpmaglim,imstype,immass,immasserr1,immasserr2,immasslim,image,imageerr1,imageerr2,imagelim,imlum,imlumerr1,imlumerr2,imlumlim,implmass,implmasserr1,implmasserr2,implmasslim,implstype,impltemp,impltemperr1,impltemperr2,impltemplim,implradius,implradiuserr1,implradiuserr2,implradiuslim,immodel,immodeldef,imnotes
51 Eri b,37:36.1,69.4005508,-02:28:24.8,-2.47354817,14.43,0.23,0,1.44E+01,4.04E-01,0,,,,1.16E+01,3.43E-01,0,0.449,0.007,-0.007,0,13.2,0.2,-0.2,0,,,,,,,,,29.4,0.3,-0.3,0,"Gemini:South, Keck:II","GPI, NIRC2","2014-12-18, 2015-01-29, 2015-01-30, 2015-01-31, 2015-02-01",bet Pic,<a href=https://ui.adsabs.harvard.edu/abs/2015Sci...350...64M/abstract target=ref>Macintosh et al. 2015</a>,1,1,1,3,198.61262,-30.6576124,4.74,0.046,0,4.77,0.083,0,4.54,0.03,0,4.54,0.211,0,1.91E+01,4.01E-01,0,19.2,0.21,0,,,,1.62E+01,2.71E-01,0,F0 IV,1.75,0.05,-0.05,0,20,6,-6,0,7.1,1,-1,0,2,,,0,T4.5-T6,675,75,-75,0,1.00E+00,,,0,"Hot-start, Macintosh et al. (2015)",1,"Here, stellar K mag. is in Ks and stellar luminosity is in L/L??."
HIP 65426 b,24:36.1,201.150406,-51:30:16.1,-51.5044594,11.14,0.05,0,1.27E+01,4.00E-01,0,1.00E+01,3.10E-01,0,,,,0.83,0.003,-0.003,0,92.5,3.8,-3.8,0,,,,,150,0.3,-0.3,0,111.4,3.8,-3.8,0,VLT:Melipal,SPHERE,"2016-05-30, 2016-06-26, 2017-02-07, 2017-02-09",LCC,<a href=https://ui.adsabs.harvard.edu/abs/2017A&A...605L...9C/abstract target=ref>Chauvin et al. 2017</a>,0,1,1,1,308.17875,11.0291842,6.83,0.019,0,6.85,0.049,0,6.77,0.02,0,,,,1.95E+01,4.00E-01,0,17.99,0.23,0,1.68E+01,3.10E-01,0,,,,A2V,1.96,0.04,-0.04,0,14,4,-4,0,17.3,,,0,7,2.00E+00,-1.00E+00,0,L6&plusmn;1,1500,100,-200,0,1.50E+00,1.00E-01,-1.00E-01,0,"COND03, Baraffe et al. (2003)",1,
USco CTIO 108 b,05:54.1,241.47532,-18:18:44.4,-18.312332,2.91,0.09,0,3.11E+00,9.00E-02,0,2.60E+00,1.20E-01,0,,,,4.6,0.1,0.1,0,670,,,0,,,,,,,,,145,2,-2,0,TNG,NICS,7/16/2007,Sco OB2/Upper Scorpius (US),<a href=https://ui.adsabs.harvard.edu/abs/2008ApJ...673L.185B/abstract target=ref>Bejar et al. 2008</a>,1,0,0,1,354.46977,24.5388974,13.42,0.09,0,12.84,0.04,0,12.51,0.04,0,,,,1.65E+01,9.00E-02,0,15.75,0.08,0,1.51E+01,1.10E-01,0,,,,M7,0.06,0.02,-0.02,0,6,0,0,0,,,,,14,2.00E+00,-8.00E+00,0,M9.5,2350,100,-400,0,,,,,"Baraffe et al. (2003), Burrows et al. (1997)",1,
2MASS J01225093-2439505 b,22:50.9,20.712243,-24:39:50.7,-24.664049,6.18,0.04,0,5.80E+00,,-1,5.36E+00,4.00E-02,0,,,,1.45,0.002,-0.002,0,52,6,-6,0,,,,,216.6,0.1,-0.1,0,36,4,-4,0,Keck:II,NIRC2,1/18/2013,AB Doradus,<a href=https://ui.adsabs.harvard.edu/abs/2013ApJ...774...55B/abstract target=ref>Bowler et al. 2013</a>,1,0,0,1,195.44877,-82.5201654,10.02,0.03,0,9.47,0.02,0,9.17,0.03,0,,,,1.68E+01,1.40E-01,0,15.65,0.04,0,1.45E+01,5.00E-02,0,,,,M3.5V,0.4,0.05,-0.05,0,120,10,-10,0,,,,,25,2.00E+00,-2.00E+00,0,L5,,,,,,,,,"Burrows et al. (2001), Spiegel et al. (2011)",1,"The H-band results are shown here. The mass assumes membership in AB Dor. If it is not a member of AB Dor, a younger age of 10-120 Myr is possible and thus a lower mass (12-14 MJup)."
2MASS J22362452+4751425 b,36:24.5,339.102203,+47:51:42.5,47.8618202,9.8,0.4,0,,,,8.20E+00,3.00E-01,0,,,,3.696,0.003,-0.003,0,,,,,,,,,135.3,0.2,-0.2,0,63,5,-5,0,Keck:II,NIRC2,6/27/2016,AB Doradus,<a href=https://ui.adsabs.harvard.edu/abs/2017AJ....153...18B/abstract target=ref>Bowler et al. 2017</a>,0,1,0,1,100.74829,-9.1089056,,,,9.39,0.021,0,9.15,0.02,0,,,,,,,18.58,0.18,0,1.74E+01,4.00E-02,0,,,,K7,0.6,0.05,-0.05,0,120,10,-10,0,,,,,12,1.50E+00,-1.50E+00,0,late L,,,,,,,,,"Baraffe et al. (2003), Chabrier et al. (2000)",1,"Planet and star photometry is presented as the weighted mean of the relative photometry, but the delta mag is for this specific observing date."
Ross 458 c,00:41.9,195.194092,+12:21:14.7,12.3757238,,,,,,,,,,,,,102,,,0,1100,,,0,,,,,,,,,11.7,0.2,-0.2,0,Magellan:Baade,FIRE,4/3/2010,,<a href=https://ui.adsabs.harvard.edu/abs/2010ApJ...725.1405B/abstract target=ref>Burgasser et al. 2010</a>,0,0,0,2,311.82538,75.085959,,,,,,,,,,,,,,,,,,,,,,,,,M7.5 Ve,,,,,475,325,-325,0,,,,,9,2.60E+00,-2.60E+00,0,T8,760,70,-45,0,1.25E-01,5.00E-03,-5.00E-03,0,"cloudless, Saumon and Marley (2008)",1,"Spectra were obtained, not broadband images."
kap And b,40:24.5,355.102112,+44:20:02.2,44.333931,10.64,0.12,0,1.16E+01,2.00E-01,0,1.00E+01,8.00E-02,0,,,,1.058,0.007,-0.007,0,55,2,-2,0,,,,,56,0.4,-0.4,0,52,,,0,Subaru,HiCIAO,"2012-07-08, 2012-07-09",Columba,<a href=https://ui.adsabs.harvard.edu/abs/2013ApJ...763L..32C/abstract target=ref>Carson et al. 2013</a>,0,1,0,1,109.76586,-16.7143327,4.6,0.3,0,4.6,0.2,0,4.6,0.4,0,,,,1.63E+01,3.00E-01,0,15.2,0.2,0,1.46E+01,4.00E-01,0,,,,B9 IV,2.45,0.05,-0.05,0,30,20,-10,0,,,,,13,2.00E+00,-1.00E+00,0,L5,1680,30,-20,0,,,,,Chabrier et al. (2000),1,
GSC 06214-00210 b,21:54.7,245.47778,-20:43:09.13,-20.719202,6.21,0.03,0,,,,5.73E+00,3.00E-02,0,4.75E+00,5.00E-02,0,2.206,0.001,-0.001,0,147,14,-14,0,,,,,175.9,0,0,0,145,14,-14,0,Keck II,NIRC2,4/26/2010,Sco OB2/Upper Scorpius (US),<a href=https://ui.adsabs.harvard.edu/abs/2011ApJ...726..113I/abstract target=ref>Ireland et al. 2011</a>,0,0,0,1,355.26196,20.1247378,,,,,,,9.15,,0,,,,,,,,,,1.49E+01,,0,,,,M1,0.6,,,0,5,,,0,,,,,14,1.50E+00,-1.50E+00,0,,,,,,,,,,"DUSTY, Chabrier et al. (2000)",1,Different PA and separations are listed for Kp and H observaitons taken on the same night. Here we list the Kp values.
HIP 79098 AB b,08:43.7,242.182175,-23:41:07.5,-23.6854153,,,,,,,,,,,,,2.37,0.011,-0.011,0,346.7,2.5,-2.5,0,,,,,116.5,0.3,-0.3,0,146.3,2.5,-2.5,0,VLT:Yepun,NACO,6/9/2004,Sco OB2/Upper Scorpius (US),<a href=https://ui.adsabs.harvard.edu/abs/2019A&A...626A..99J/abstract target=ref>Janson et al. 2019</a>,0,0,0,2,350.73403,20.3683332,,,,,,,,,,,,,1.58E+01,2.10E-01,0,14.9,0.21,0,1.42E+01,2.10E-01,0,,,,B9,3.75,1.25,-1.25,0,10,3,-3,0,,,,,20,4.50E+00,-4.50E+00,0,,2450,150,-150,0,,,,,"Baraffe et al. (2015), Pecaut and Mamajek (2016)",1,
SR 12 AB c,40:24.5,246.8313,+44:20:02.2,-24.694553,,,,,,,,,,,,,8.659,0.048,-0.048,0,1100,,,0,,,,,,,,,125,25,-25,0,Subaru,IRCS,6/13/2005,rho Ophiuchi,<a href=https://ui.adsabs.harvard.edu/abs/2011AJ....141..119K/abstract target=ref>Kuzuhara et al. 2011</a>,0,0,0,2,352.97994,16.5649924,,,,,,,,,,,,,,,,15.35,0.13,0,,,,1.31E+01,8.00E-02,0,,,,,,2,8,-2,0,,,,,14,7.40E+00,-7.40E+00,0,M9.0,,,,,,,,,This work.,1,
