plntname,ra_str,ra,dec_str,dec,imdelthmag,imdelthmagerr,imdelthmaglim,imdeltjmag,imdeltjmagerr,imdeltjmaglim,imdeltkmag,imdeltkmagerr,imdeltkmaglim,imdeltlpmag,imdeltlpmagerr,imdeltlpmaglim,imangsep,imangseperr1,imangseperr2,imangseplim,imsep,imseperr1,imseperr2,imseplim,imtruesep,imtrueseperr1,imtrueseperr2,imtrueseplim,impa,impaerr1,impaerr2,impalim,imdist,imdisterr1,imdisterr2,imdistlim,imtelescope,iminstrument,imdateobs,imcluster,imreflink,imdisk,imcorona,imifu,ns,glon,glat,imjmag,imjmagerr,imjmaglim,imhmag,imhmagerr,imhmaglim,imkmag,imkmagerr,imkmaglim,imlpmag,imlpmagerr,imlpmaglim,implnjmag,implnjmagerr,implnjmaglim,implnhmag,implnhmagerr,implnhmaglim,implnkmag,implnkmagerr,implnkmaglim,implnlpmag,implnlpmagerr,implnlpmaglim,imstype,immass,immasserr1,immasserr2,immasslim,image,imageerr1,imageerr2,imagelim,imlum,imlumerr1,imlumerr2,imlumlim,implmass,implmasserr1,implmasserr2,implmasslim,implstype,impltemp,impltemperr1,impltemperr2,impltemplim,implradius,implradiuserr1,implradiuserr2,implradiuslim,immodel,immodeldef,imnotes,pl_name,hostname,pl_rade,pl_masse,pl_orbper,pl_orbsmax,st_spectype,st_teff,st_rad,pl_dens,st_met,luminosity,hz_inner,hz_outer,s_eff,equilibrium_temp,greenhouse_factor,habitable_zone,esi,size_category,mass_category
51 Eri b,37:36.1,69.4005508,-02:28:24.8,-2.47354817,14.43,0.23,0.0,14.4,0.404,0.0,,,,11.6,0.343,0.0,0.449,0.007,-0.007,0.0,13.2,0.2,-0.2,0.0,,,,,,,,,29.4,0.3,-0.3,0.0,"Gemini:South, Keck:II","GPI, NIRC2","2014-12-18, 2015-01-29, 2015-01-30, 2015-01-31, 2015-02-01",bet Pic,<a href=https://ui.adsabs.harvard.edu/abs/2015Sci...350...64M/abstract target=ref>Macintosh et al. 2015</a>,1,1,1,3,198.61262,-30.6576124,4.74,0.046,0.0,4.77,0.083,0.0,4.54,0.03,0.0,4.54,0.211,0.0,19.1,0.401,0.0,19.2,0.21,0.0,,,,16.2,0.271,0.0,F0 IV,1.75,0.05,-0.05,0.0,20.0,6.0,-6.0,0.0,7.1,1.0,-1.0,0.0,2.0,,,0.0,T4.5-T6,675.0,75.0,-75.0,0.0,1.0,,,0.0,"Hot-start, Macintosh et al. (2015)",1,"Here, stellar K mag. is in Ks and stellar luminosity is in L/L??.",51 Eri b,51 Eri,2.38,635.66,11.546399999999998,13.2,G,5552.0,0.95,1.395,-0.027,610995431.9318966,19173.303963558927,27649.922557974453,279048.84985803784,963.3493455053165,1.5,no,0.7149027500200159,Neptune-like,High-mass
HIP 65426 b,24:36.1,201.150406,-51:30:16.1,-51.5044594,11.14,0.05,0.0,12.7,0.4,0.0,10.0,0.31,0.0,11.6,0.343,0.0,0.83,0.003,-0.003,0.0,92.5,3.8,-3.8,0.0,,,,,150.0,0.3,-0.3,0.0,111.4,3.8,-3.8,0.0,VLT:Melipal,SPHERE,"2016-05-30, 2016-06-26, 2017-02-07, 2017-02-09",LCC,<a href=https://ui.adsabs.harvard.edu/abs/2017A&A...605L...9C/abstract target=ref>Chauvin et al. 2017</a>,0,1,1,1,308.17875,11.0291842,6.83,0.019,0.0,6.85,0.049,0.0,6.77,0.02,0.0,4.54,0.211,0.0,19.5,0.4,0.0,17.99,0.23,0.0,16.8,0.31,0.0,16.2,0.271,0.0,A2V,1.96,0.04,-0.04,0.0,14.0,4.0,-4.0,0.0,17.3,1.0,-1.0,0.0,7.0,2.0,-1.0,0.0,L6&plusmn;1,1500.0,100.0,-200.0,0.0,1.5,0.1,-0.1,0.0,"COND03, Baraffe et al. (2003)",1,"Here, stellar K mag. is in Ks and stellar luminosity is in L/L??.",HIP 65426 b,HIP 65426,16.814,2860.47,11.546399999999998,92.0,A,8840.0,1.77,1.395,0.0185,13631652789.49501,90563.2988302261,130601.80989201026,128163.09806005168,793.0571714137138,1.5,no,1.0,Gas Giant,High-mass
USco CTIO 108 b,05:54.1,241.47532,-18:18:44.4,-18.312332,2.91,0.09,0.0,3.11,0.09,0.0,2.6,0.12,0.0,11.6,0.343,0.0,4.6,0.1,0.1,0.0,670.0,3.8,-3.8,0.0,,,,,150.0,0.3,-0.3,0.0,145.0,2.0,-2.0,0.0,TNG,NICS,7/16/2007,Sco OB2/Upper Scorpius (US),<a href=https://ui.adsabs.harvard.edu/abs/2008ApJ...673L.185B/abstract target=ref>Bejar et al. 2008</a>,1,0,0,1,354.46977,24.5388974,13.42,0.09,0.0,12.84,0.04,0.0,12.51,0.04,0.0,4.54,0.211,0.0,16.5,0.09,0.0,15.75,0.08,0.0,15.1,0.11,0.0,16.2,0.271,0.0,M7,0.06,0.02,-0.02,0.0,6.0,0.0,0.0,0.0,17.3,1.0,-1.0,0.0,14.0,2.0,-8.0,0.0,M9.5,2350.0,100.0,-400.0,0.0,1.5,0.1,-0.1,0.0,"Baraffe et al. (2003), Burrows et al. (1997)",1,"Here, stellar K mag. is in Ks and stellar luminosity is in L/L??.",USco CTIO 108 b,USco CTIO 108,2.38,4449.62,11.546399999999998,670.0,M,2700.0,0.95,1.395,0.0185,34173950.822310135,90563.2988302261,130601.80989201026,6.058089995934506,65.7578609667823,1.5,no,1.0,Neptune-like,High-mass
2MASS J01225093-2439505 b,22:50.9,20.712243,-24:39:50.7,-24.664049,6.18,0.04,0.0,5.8,0.09,-1.0,5.36,0.04,0.0,11.6,0.343,0.0,1.45,0.002,-0.002,0.0,52.0,6.0,-6.0,0.0,,,,,216.6,0.1,-0.1,0.0,36.0,4.0,-4.0,0.0,Keck:II,NIRC2,1/18/2013,AB Doradus,<a href=https://ui.adsabs.harvard.edu/abs/2013ApJ...774...55B/abstract target=ref>Bowler et al. 2013</a>,1,0,0,1,195.44877,-82.5201654,10.02,0.03,0.0,9.47,0.02,0.0,9.17,0.03,0.0,4.54,0.211,0.0,16.8,0.14,0.0,15.65,0.04,0.0,14.5,0.05,0.0,16.2,0.271,0.0,M3.5V,0.4,0.05,-0.05,0.0,120.0,10.0,-10.0,0.0,17.3,1.0,-1.0,0.0,25.0,2.0,-2.0,0.0,L5,2350.0,100.0,-400.0,0.0,1.5,0.1,-0.1,0.0,"Burrows et al. (2001), Spiegel et al. (2011)",1,"The H-band results are shown here. The mass assumes membership in AB Dor. If it is not a member of AB Dor, a younger age of 10-120 Myr is possible and thus a lower mass (12-14 MJup).",2MASS J01225093-2439505 b,2MASS J01225093-2439505,2.38,7786.5,11.546399999999998,52.0,M,3530.0,0.95,1.395,0.0185,99847904.55638362,7750.81646719175,11177.493221108105,2938.477730679777,308.5988820211088,1.5,no,1.0,Neptune-like,High-mass
2MASS J22362452+4751425 b,36:24.5,339.102203,+47:51:42.5,47.8618202,9.8,0.4,0.0,5.8,0.09,-1.0,8.2,0.3,0.0,11.6,0.343,0.0,3.696,0.003,-0.003,0.0,52.0,6.0,-6.0,0.0,,,,,135.3,0.2,-0.2,0.0,63.0,5.0,-5.0,0.0,Keck:II,NIRC2,6/27/2016,AB Doradus,<a href=https://ui.adsabs.harvard.edu/abs/2017AJ....153...18B/abstract target=ref>Bowler et al. 2017</a>,0,1,0,1,100.74829,-9.1089056,10.02,0.03,0.0,9.39,0.021,0.0,9.15,0.02,0.0,4.54,0.211,0.0,16.8,0.14,0.0,18.58,0.18,0.0,17.4,0.04,0.0,16.2,0.271,0.0,K7,0.6,0.05,-0.05,0.0,120.0,10.0,-10.0,0.0,17.3,1.0,-1.0,0.0,12.0,1.5,-1.5,0.0,late L,2350.0,100.0,-400.0,0.0,1.5,0.1,-0.1,0.0,"Baraffe et al. (2003), Chabrier et al. (2000)",1,"Planet and star photometry is presented as the weighted mean of the relative photometry, but the delta mag is for this specific observing date.",2MASS J22362452+4751425 b,2MASS J22362452+4751425,2.38,3972.875,11.546399999999998,230.0,K,4045.0,0.95,1.395,0.0185,172152858.09297967,10177.359003491169,14676.822983982005,258.9695494602582,168.1418892090239,1.5,no,1.0,Neptune-like,High-mass
Ross 458 c,00:41.9,195.194092,+12:21:14.7,12.3757238,9.8,0.4,0.0,5.8,0.09,-1.0,8.2,0.3,0.0,11.6,0.343,0.0,102.0,0.003,-0.003,0.0,1100.0,6.0,-6.0,0.0,,,,,135.3,0.2,-0.2,0.0,11.7,0.2,-0.2,0.0,Magellan:Baade,FIRE,4/3/2010,AB Doradus,<a href=https://ui.adsabs.harvard.edu/abs/2010ApJ...725.1405B/abstract target=ref>Burgasser et al. 2010</a>,0,0,0,2,311.82538,75.085959,10.02,0.03,0.0,9.39,0.021,0.0,9.15,0.02,0.0,4.54,0.211,0.0,16.8,0.14,0.0,18.58,0.18,0.0,17.4,0.04,0.0,16.2,0.271,0.0,M7.5 Ve,0.6,0.05,-0.05,0.0,475.0,325.0,-325.0,0.0,17.3,1.0,-1.0,0.0,9.0,2.6,-2.6,0.0,T8,760.0,70.0,-45.0,0.0,0.125,0.005,-0.005,0.0,"cloudless, Saumon and Marley (2008)",1,"Spectra were obtained, not broadband images.",Ross 458 c,Ross 458,14.011,1906.98,11.546399999999998,1100.0,G,5552.0,0.95,1.395,0.0185,610995431.9318966,10177.359003491169,14676.822983982005,40.18303437955744,105.52963345821996,1.5,no,1.0,Gas Giant,High-mass
kap And b,40:24.5,355.102112,+44:20:02.2,44.333931,10.64,0.12,0.0,11.6,0.2,0.0,10.0,0.08,0.0,11.6,0.343,0.0,1.058,0.007,-0.007,0.0,55.0,2.0,-2.0,0.0,,,,,56.0,0.4,-0.4,0.0,52.0,0.2,-0.2,0.0,Subaru,HiCIAO,"2012-07-08, 2012-07-09",Columba,<a href=https://ui.adsabs.harvard.edu/abs/2013ApJ...763L..32C/abstract target=ref>Carson et al. 2013</a>,0,1,0,1,109.76586,-16.7143327,4.6,0.3,0.0,4.6,0.2,0.0,4.6,0.4,0.0,4.54,0.211,0.0,16.3,0.3,0.0,15.2,0.2,0.0,14.6,0.4,0.0,16.2,0.271,0.0,B9 IV,2.45,0.05,-0.05,0.0,30.0,20.0,-10.0,0.0,17.3,1.0,-1.0,0.0,13.0,2.0,-1.0,0.0,L5,1680.0,30.0,-20.0,0.0,0.125,0.005,-0.005,0.0,Chabrier et al. (2000),1,"Spectra were obtained, not broadband images.",kap And b,kap And,2.38,4327.36,11.546399999999998,55.0,B,10900.0,0.95,1.395,-0.36,9077079209.511002,10177.359003491169,14676.822983982005,238787.1115752644,926.544895958233,1.5,no,0.6800915493523252,Neptune-like,High-mass
GSC 06214-00210 b,21:54.7,245.47778,-20:43:09.13,-20.719202,6.21,0.03,0.0,11.6,0.2,0.0,5.73,0.03,0.0,4.75,0.05,0.0,2.206,0.001,-0.001,0.0,147.0,14.0,-14.0,0.0,,,,,175.9,0.0,0.0,0.0,145.0,14.0,-14.0,0.0,Keck II,NIRC2,4/26/2010,Sco OB2/Upper Scorpius (US),<a href=https://ui.adsabs.harvard.edu/abs/2011ApJ...726..113I/abstract target=ref>Ireland et al. 2011</a>,0,0,0,1,355.26196,20.1247378,4.6,0.3,0.0,4.6,0.2,0.0,9.15,0.4,0.0,4.54,0.211,0.0,16.3,0.3,0.0,15.2,0.2,0.0,14.9,0.4,0.0,16.2,0.271,0.0,M1,0.6,0.05,-0.05,0.0,5.0,20.0,-10.0,0.0,17.3,1.0,-1.0,0.0,14.0,1.5,-1.5,0.0,L5,1680.0,30.0,-20.0,0.0,0.125,0.005,-0.005,0.0,"DUSTY, Chabrier et al. (2000)",1,Different PA and separations are listed for Kp and H observaitons taken on the same night. Here we list the Kp values.,GSC 06214-00210 b,GSC 06214-00210,2.38,5000.0,11.546399999999998,320.0,K,4200.0,0.95,1.395,0.0185,200095487.69850117,10972.273469914893,15823.173319772006,155.49895487109373,148.0115532054109,1.5,no,0.6800915493523252,Neptune-like,High-mass
HIP 79098 AB b,08:43.7,242.182175,-23:41:07.5,-23.6854153,6.21,0.03,0.0,11.6,0.2,0.0,5.73,0.03,0.0,4.75,0.05,0.0,2.37,0.011,-0.011,0.0,346.7,2.5,-2.5,0.0,,,,,116.5,0.3,-0.3,0.0,146.3,2.5,-2.5,0.0,VLT:Yepun,NACO,6/9/2004,Sco OB2/Upper Scorpius (US),<a href=https://ui.adsabs.harvard.edu/abs/2019A&A...626A..99J/abstract target=ref>Janson et al. 2019</a>,0,0,0,2,350.73403,20.3683332,4.6,0.3,0.0,4.6,0.2,0.0,9.15,0.4,0.0,4.54,0.211,0.0,15.8,0.21,0.0,14.9,0.21,0.0,14.2,0.21,0.0,16.2,0.271,0.0,B9,3.75,1.25,-1.25,0.0,10.0,3.0,-3.0,0.0,17.3,1.0,-1.0,0.0,20.0,4.5,-4.5,0.0,L5,2450.0,150.0,-150.0,0.0,0.125,0.005,-0.005,0.0,"Baraffe et al. (2015), Pecaut and Mamajek (2016)",1,Different PA and separations are listed for Kp and H observaitons taken on the same night. Here we list the Kp values.,HIP 79098 AB b,HIP 79098 AB,2.38,6515.515,11.546399999999998,345.0,G,5552.0,0.95,1.395,0.0185,610995431.9318966,23482.40569700082,33864.100847253816,408.4979760492712,188.4348493231707,1.0,no,0.6800915493523252,Neptune-like,High-mass
SR 12 AB c,40:24.5,246.8313,+44:20:02.2,-24.694553,6.21,0.03,0.0,11.6,0.2,0.0,5.73,0.03,0.0,4.75,0.05,0.0,8.659,0.048,-0.048,0.0,1100.0,2.5,-2.5,0.0,,,,,116.5,0.3,-0.3,0.0,125.0,25.0,-25.0,0.0,Subaru,IRCS,6/13/2005,rho Ophiuchi,<a href=https://ui.adsabs.harvard.edu/abs/2011AJ....141..119K/abstract target=ref>Kuzuhara et al. 2011</a>,0,0,0,2,352.97994,16.5649924,4.6,0.3,0.0,4.6,0.2,0.0,9.15,0.4,0.0,4.54,0.211,0.0,15.8,0.21,0.0,15.35,0.13,0.0,14.2,0.21,0.0,13.1,0.08,0.0,B9,3.75,1.25,-1.25,0.0,2.0,8.0,-2.0,0.0,17.3,1.0,-1.0,0.0,14.0,7.4,-7.4,0.0,M9.0,2450.0,150.0,-150.0,0.0,0.125,0.005,-0.005,0.0,This work.,1,Different PA and separations are listed for Kp and H observaitons taken on the same night. Here we list the Kp values.,SR 12 AB c,SR 12 AB,2.38,4131.62,11.546399999999998,345.0,G,5552.0,0.95,1.395,0.0185,610995431.9318966,23482.40569700082,33864.100847253816,408.4979760492712,188.4348493231707,1.0,no,0.6800915493523252,Neptune-like,High-mass
